kelurahan,nama_jalan,latitude,longitude,ave_njb
ANCOL,ANCOL BARAT I,-6.1186744,106.8204828,7623000.0
ANCOL,DUNIA FANTASI,-6.124209049999999,106.83214202113425,26343000.0
ANCOL,GG GLORIA,-6.1302935,106.8215455,7455000.0
ANCOL,GG LODAN RAYA,-6.1311992,106.8232849,14105000.0
ANCOL,GG PARANG TRITIS RAYA,-6.1258858,106.82141,7455000.0
ANCOL,GG SOHO,-6.1311568,106.8208945,14105000.0
ANCOL,ITC MANGGA DUA,-6.13540415,106.82472930976016,43959000.0
ANCOL,JL ANCOL BARAT,-6.1186744,106.8204828,20118454.545454547
ANCOL,JL ANCOL BARAT III,-6.1248691,106.8199132,22621000.0
ANCOL,JL ANCOL BARAT VII,-6.1231708,106.8155006,22323000.0
ANCOL,JL ANCOL BARU,-6.1157847,106.861814,15363000.0
ANCOL,JL ANCOL I,-6.1282999,106.8183491,7623000.0
ANCOL,JL ANCOL III,-6.1251808,106.8167685,22323000.0
ANCOL,JL ANCOL TIMUR,-6.1271856,106.8469131,19585500.0
ANCOL,JL ANCOL VIII,-6.1233517,106.8196381,24010333.333333332
ANCOL,JL BARUNA,-6.1236347,106.813182,17384000.0
ANCOL,JL BARUNA RAYA,-6.1236347,106.813182,17245000.0
ANCOL,JL BERINGIN,-6.1239849,106.8115846,17245000.0
ANCOL,JL GUNUNG SAHARI,-6.1416264,106.8333325,46023000.0
ANCOL,JL GUNUNG SAHARI RAYA,-6.1416264,106.8333325,43959000.0
ANCOL,JL KARANG BOLONG,-6.1274072,106.8296787,22179000.0
ANCOL,JL KARANG BOLONG I,-6.1280827,106.8258863,21063000.0
ANCOL,JL KARANG BOLONG II,-6.127116,106.8284204,21063000.0
ANCOL,JL KARANG BOLONG III,-6.126676,106.8283334,22343000.0
ANCOL,JL KARANG BOLONG IV,-6.1262085,106.8283019,22179000.0
ANCOL,JL KARANG BOLONG RAYA,-6.1284366,106.8258284,22945000.0
ANCOL,JL KARANG BOLONG V,-6.1261204,106.8255591,20647000.0
ANCOL,JL KARANG BOLONG VI,-6.1262178,106.8250385,22179000.0
ANCOL,JL KARANG BOLONG VII,-6.1271716,106.8257365,22179000.0
ANCOL,JL KARANG BOLONG VIII,-6.1266673,106.8283849,21063000.0
ANCOL,JL KENCUR,-6.1310792,106.8161017,11305000.0
ANCOL,JL KETEL,-6.1208095,106.8627358,15363000.0
ANCOL,JL KETEL I,-6.113589,106.8640655,15363000.0
ANCOL,JL KRAPU,-6.1269078,106.8099031,15300333.333333334
ANCOL,JL LODAN,-6.1311992,106.8232849,16669833.333333334
ANCOL,JL LODAN DALAM,-6.1247549,106.8121337,12049000.0
ANCOL,JL LODAN DALAM I,-6.1247549,106.8121337,13524333.333333334
ANCOL,JL LODAN DALAM II,-6.1257754,106.8126646,12049000.0
ANCOL,JL LODAN DALAM VI,-6.1269642,106.8146764,7623000.0
ANCOL,JL LODAN II,-6.1257754,106.8126646,25653000.0
ANCOL,JL LODAN RAYA,-6.1311992,106.8232849,21638866.666666668
ANCOL,JL MANGGA DUA RAYA,-6.1352946,106.830706,37299857.14285714
ANCOL,JL MANGGA DUA SELATAN,-6.1360705,106.827062,41895000.0
ANCOL,JL MARINA ASRI,-6.1231575,106.8258635,23295000.0
ANCOL,JL MARINA I,-6.09999925,106.7925747133994,23295000.0
ANCOL,JL MARITIM,-6.1185981,106.8088622,17245000.0
ANCOL,JL MARITIM RAYA,-6.1185981,106.8088622,17245000.0
ANCOL,JL METRO MARINA BARAT III,-6.1205069,106.8234957,24625000.0
ANCOL,JL METRO MARINA TIMUR VII,-6.1216696,106.823978,24625000.0
ANCOL,JL METRO MARINA TIMUR VIII,-6.1223293,106.8250307,24625000.0
ANCOL,JL PANGANDARAN,-6.125334,106.823143,22323000.0
ANCOL,JL PANGANDARAN I,-6.125334,106.823143,22323000.0
ANCOL,JL PANGANDARAN II,-6.1246122,106.8236249,22323000.0
ANCOL,JL PANGANDARAN III,-6.1241338,106.8231747,22323000.0
