name,stars,count_reviews,coordinate,latitude,longitude,category
Central Park Jakarta,4.7,96897,"-6.1773686,106.7880974,17",-6.1773686,106.7880974,mall
Ciplaz Cengkareng,4.6,2441,"-6.1530098,106.7256653,17",-6.1530098,106.7256653,mall
CityWalk Gajah Mada,4.5,2978,"-6.1453373,106.8125703,17",-6.1453373,106.8125703,mall
Green Sedayu Mall,4.6,3745,"-6.1388522,106.7261465,17",-6.1388522,106.7261465,mall
HubLife Taman Anggrek,4.6,2225,"-6.208428,106.7824432,15",-6.208428,106.7824432,mall
Lindeteves Trade Centre,4.6,3447,"-6.1452508,106.7971913,14",-6.1452508,106.7971913,mall
Lippo Mall Puri,4.6,49403,"-6.208428,106.7824432,15",-6.208428,106.7824432,mall
Mall Ciputra Jakarta,4.5,40360,"-6.1683801,106.784161,17",-6.1683801,106.784161,mall
Mall Puri Indah,4.6,36956,"-6.1847065,106.7504279,17",-6.1847065,106.7504279,mall
Mall Taman Anggrek,4.6,59510,"-6.1783045,106.7893272,17",-6.1783045,106.7893272,mall
Mall Taman Palem,4.3,7025,"-6.1395027,106.7291419,17",-6.1395027,106.7291419,mall
Neo Soho Podomoro City,4.6,24523,"-6.174963,106.7874385,17",-6.174963,106.7874385,mall
Plaza Slipi Jaya,4.3,11896,"-6.208428,106.7824432,15",-6.208428,106.7824432,mall
Seasons City,4.3,25791,"-6.1534123,106.7935091,17",-6.1534123,106.7935091,mall
Citywalk Sudirman,4.4,20746,"-6.208428,106.7824432,15",-6.208428,106.7824432,mall
FX Sudirman,4.5,37276,"-6.208428,106.7824432,15",-6.208428,106.7824432,mall
Gajah Mada Plaza,4.3,21201,"-6.1606294,106.815616,17",-6.1606294,106.815616,mall
Grand Indonesia Shopping Town,4.7,22258,"-6.208428,106.7824432,15",-6.208428,106.7824432,mall
Green Pramuka Square,4.5,26735,"-6.189148,106.8714391,17",-6.189148,106.8714391,mall
ITC Cempaka Mas,4.4,26086,"-6.1646511,106.8749821,17",-6.1646511,106.8749821,mall
ITC Mangga Dua,4.4,13374,"-6.1356852,106.8220263,17",-6.1356852,106.8220263,mall
ITC Roxy Mas,4.5,24238,"-6.166433,106.8004092,17",-6.166433,106.8004092,mall
