,name,url,stars,count_reviews
0,Central Park Jakarta,"https://www.google.com/maps/place/Central+Park/@-6.1773686,106.7880974,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6f5802f381d:0xe816d65037c3207a!8m2!3d-6.1773686!4d106.7906723!16s%2Fm%2F0cc6h_j","Bintang 4,7",96.897 ulasan
1,Ciplaz Cengkareng,"https://www.google.com/maps/place/Ciplaz+Cengkareng+(RAMAYANA)/@-6.1530098,106.7256653,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f732012e85df:0x9bec848206643761!8m2!3d-6.1530098!4d106.7282402!16s%2Fg%2F11h7cp41td","Bintang 4,6",2.441 ulasan
2,CityWalk Gajah Mada,"https://www.google.com/maps/place/Citywalk+Gajah+Mada/@-6.1453373,106.8125703,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f607cdb9c7ad:0x25c9a8cc88880d8b!8m2!3d-6.1453373!4d106.8151452!16s%2Fg%2F11c6pmfcw9","Bintang 4,5",2.978 ulasan
3,Green Sedayu Mall,"https://www.google.com/maps/place/Green+Sedayu+Mall/@-6.1388522,106.7261465,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7288151bdd1:0xd7fefe5d9828a2b1!8m2!3d-6.1388522!4d106.7287214!16s%2Fg%2F11hnqdxwfv","Bintang 4,6",3.745 ulasan
4,HubLife Taman Anggrek,"https://www.google.com/maps/place/Hublife+Taman+Anggrek/@-6.208428,106.7824432,15z/data=!4m6!3m5!1s0x2e69f7d35d383087:0x88fab696821699af!8m2!3d-6.1807487!4d106.7921782!16s%2Fg%2F11rfm4zf59","Bintang 4,6",2.225 ulasan
5,Lindeteves Trade Centre,"https://www.google.com/maps/place/Lindeteves+Trade+Center,+Mangga+Besar,+Kec.+Taman+Sari,+Kota+Jakarta+Barat,+Daerah+Khusus+Ibukota+Jakarta/@-6.1452508,106.7971913,14z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5fd58445f55:0x7eb47c91dccb5731!8m2!3d-6.1452513!4d106.817791!16s%2Fg%2F11f4qm54m4",,
6,Lippo Mall Puri,"https://www.google.com/maps/place/Lippo+Mall+Puri/@-6.208428,106.7824432,15z/data=!4m6!3m5!1s0x2e69f76e37136e23:0x41cca4768f8bf65b!8m2!3d-6.1872874!4d106.7391347!16s%2Fg%2F11c3q12zjb","Bintang 4,6",49.403 ulasan
7,Mall Ciputra Jakarta,"https://www.google.com/maps/place/Mal+Ciputra+Jakarta/@-6.1683801,106.784161,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f65b320fb573:0xc1a27eebd0600293!8m2!3d-6.1683801!4d106.7867359!16s%2Fg%2F1tcxm296","Bintang 4,5",40.360 ulasan
8,Mall Puri Indah,"https://www.google.com/maps/place/Mall+Puri+Indah,+Jl.+Puri+Indah+Raya,+RT.1%2FRW.8,+Kembangan+Sel.,+Kec.+Kembangan,+Kota+Jakarta+Barat,+Daerah+Khusus+Ibukota+Jakarta+11610/@-6.1847065,106.7504279,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f70c1e90503b:0x208bc2350cf497fc!8m2!3d-6.1847215!4d106.7531491!16s%2Fg%2F11byl4hv26","Bintang 4,4 1.694 Ulasan","Bintang 4,4 1.694 Ulasan"
9,Mall Taman Anggrek,"https://www.google.com/maps/place/Mall+Taman+Anggrek/@-6.1783045,106.7893272,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6f50de17c9b:0xb287bf108f4ef441!8m2!3d-6.1783045!4d106.7919021!16zL20vMDduc2Yw","Bintang 4,6",59.510 ulasan
10,Mall Taman Palem,"https://www.google.com/maps/place/Mall+Taman+Palem/@-6.1395027,106.7291419,17z/data=!3m2!4b1!5s0x2e69f7fd99c16df3:0x947404ce7de631dd!4m6!3m5!1s0x2e69f70968c033bd:0x88487f50f7f7bbe0!8m2!3d-6.1395027!4d106.7317168!16s%2Fg%2F11dd_vk12g","Bintang 4,3",7.025 ulasan
11,Neo Soho Podomoro City,"https://www.google.com/maps/place/Neo+Soho+Central+Park/@-6.174963,106.7874385,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f65ee1c07a31:0x2c4c67f4d94e8e65!8m2!3d-6.174963!4d106.7900134!16s%2Fg%2F11c5214j3m","Bintang 4,6",24.523 ulasan
12,Plaza Slipi Jaya,"https://www.google.com/maps/place/Plaza+Slipi+Jaya/@-6.208428,106.7824432,15z/data=!4m6!3m5!1s0x2e69f7473fb7117d:0x4901356a543de45c!8m2!3d-6.1892704!4d106.7965048!16s%2Fg%2F12353ng2","Bintang 4,3",11.896 ulasan
13,Seasons City,"https://www.google.com/maps/place/Seasons+City+Mall,+Jl.+Prof.+Dr.+Latumeten+No.33,+RT.13%2FRW.1,+Jemb.+Besi,+Kec.+Tambora,+Kota+Jakarta+Barat,+Daerah+Khusus+Ibukota+Jakarta+11320/@-6.1534123,106.7935091,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f615baf9dda3:0xf915ae914cad4223!8m2!3d-6.1534123!4d106.796084!16s%2Fg%2F11cnckz7nq","Bintang 4,3 25.791 Ulasan","Bintang 4,3 25.791 Ulasan"
14,Citywalk Sudirman,"https://www.google.com/maps/place/Citywalk+Sudirman/@-6.208428,106.7824432,15z/data=!4m6!3m5!1s0x2e69f4029ddcb01d:0x8c45c69b461fb15e!8m2!3d-6.2088205!4d106.818045!16s%2Fg%2F1pp2w_8kv","Bintang 4,4",20.746 ulasan
15,FX Sudirman,"https://www.google.com/maps/place/FX+Sudirman/@-6.208428,106.7824432,15z/data=!3m1!5s0x2e69f14e44eb3975:0xba9e4928ecdcb17f!4m6!3m5!1s0x2e69f14e455ccd9f:0xd635e33c7c001b3d!8m2!3d-6.2246691!4d106.8039106!16s%2Fm%2F0j_3nnw","Bintang 4,5",37.276 ulasan
16,Gajah Mada Plaza,"https://www.google.com/maps/place/Gajah+Mada+Plaza,+Jl.+Gajah+Mada,+RT.2%2FRW.1,+Petojo+Utara,+Kecamatan+Gambir,+Kota+Jakarta+Pusat,+Daerah+Khusus+Ibukota+Jakarta+10130/@-6.1606294,106.815616,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5df5a184df9:0xe6784896673144fb!8m2!3d-6.1608281!4d106.8183908!16s%2Fg%2F11b6_jk25r","Bintang 4,3 21.201 Ulasan","Bintang 4,3 21.201 Ulasan"
17,Grand Indonesia Shopping Town,"https://www.google.com/maps/search/grand+indonesia+shopping+town/@-6.208428,106.7824432,15z","Bintang 4,7 22.258 Ulasan","Bintang 4,7 22.258 Ulasan"
