,name,stars,count_reviews,coordinate
0,Central Park Jakarta,4.7,96897,"-6.1773686,106.7880974,17"
1,Ciplaz Cengkareng,4.6,2441,"-6.1530098,106.7256653,17"
2,CityWalk Gajah Mada,4.5,2978,"-6.1453373,106.8125703,17"
3,Green Sedayu Mall,4.6,3745,"-6.1388522,106.7261465,17"
4,HubLife Taman Anggrek,4.6,2225,"-6.208428,106.7824432,15"
5,Lindeteves Trade Centre,4.6,3447,"-6.1452508,106.7971913,14"
6,Lippo Mall Puri,4.6,49403,"-6.208428,106.7824432,15"
7,Mall Ciputra Jakarta,4.5,40360,"-6.1683801,106.784161,17"
8,Mall Puri Indah,4.6,36956,"-6.1847065,106.7504279,17"
9,Mall Taman Anggrek,4.6,59510,"-6.1783045,106.7893272,17"
10,Mall Taman Palem,4.3,7025,"-6.1395027,106.7291419,17"
11,Neo Soho Podomoro City,4.6,24523,"-6.174963,106.7874385,17"
12,Plaza Slipi Jaya,4.3,11896,"-6.208428,106.7824432,15"
13,Seasons City,4.3,25791,"-6.1534123,106.7935091,17"
14,Citywalk Sudirman,4.4,20746,"-6.208428,106.7824432,15"
15,FX Sudirman,4.5,37276,"-6.208428,106.7824432,15"
16,Gajah Mada Plaza,4.3,21201,"-6.1606294,106.815616,17"
17,Grand Indonesia Shopping Town,4.7,22258,"-6.208428,106.7824432,15"
18,Green Pramuka Square,4.5,26735,"-6.189148,106.8714391,17"
19,ITC Cempaka Mas,4.4,26086,"-6.1646511,106.8749821,17"
20,ITC Mangga Dua,4.4,13374,"-6.1356852,106.8220263,17"
21,ITC Roxy Mas,4.5,24238,"-6.166433,106.8004092,17"
22,Mangga Dua Mall,4.4,23895,"-6.1370291,106.8217498,17"
23,Mangga Dua Square,4.3,30440,"-6.1387841,106.8290628,17"
24,Pasar Pagi Mangga Dua,4.4,11191,"-6.1363272,106.8192986,17"
25,Plaza Atrium,4.4,40923,"-6.1766586,106.8386162,17"
26,Plaza Indonesia,4.7,44533,"-6.208428,106.7824432,15"
27,Plaza Senayan,4.6,45824,"-6.2254694,106.796839,17"
28,Ratu Plaza,4.2,13368,"-6.208428,106.7824432,15"
29,Sarinah,4.7,4918,"-6.208428,106.7824432,15"
30,Senayan City,4.7,56441,"-6.208428,106.7824432,15"
31,Senayan Park,4.6,7832,"-6.2122975,106.8027317,17"
32,Thamrin City,4.4,30172,"-6.208428,106.7824432,15"
33,Aeon Mall Tanjung Barat,4.6,9289,"-6.3056357,106.8379591,17"
34,Astha District 8,4.7,8756,"-6.2299528,106.8045871,17"
35,Blok M Plaza,4.4,4629,"-6.2441311,106.7949975,17"
36,Blok M Square,4.4,37216,"-6.208428,106.7824432,15"
37,Cilandak Town Square,4.5,43866,"-6.2917804,106.7963884,17"
38,Epiwalk,4.5,3680,"-6.2084215,106.7103404,12"
39,Gandaria City,4.6,69091,"-6.208428,106.7824432,15"
40,Grand ITC Permata Hijau,4.3,15197,"-6.208428,106.7824432,15"
41,ITC Cipulir,4.5,1278,"-6.2372615,106.7629077,17"
42,ITC Fatmawati,4.3,6924,"-6.2642158,106.7965103,17"
43,Kalibata City Square,4.3,7293,"-6.2561373,106.8483122,17"
44,Kota Kasablanka,4.6,99513,"-6.2240353,106.840023,17"
45,Kuningan City,4.4,34569,"-6.208428,106.7824432,15"
46,Lippo Mall Kemang,4.6,10002,"-6.2612579,106.8102851,17"
47,Lotte Shopping Avenue,4.6,45299,"-6.2244656,106.8202994,17"
48,Mall Ambasador,4.4,34954,"-6.2233862,106.8240171,17"
49,Mall Metro Cipulir,4.4,471,"-6.2384832,106.7615083,17"
50,One Belpark Mall,4.4,15320,"-6.304598,106.792448,17"
51,Pacific Place,4.7,45260,"-6.208428,106.7824432,15"
52,Pasaraya Blok M,3.0,5,"-6.2437698,106.7975297,17"
53,Pejaten Village,4.6,2504,"-6.2803107,106.8263427,17"
54,Plaza Festival Mall Kuningan,4.4,24027,"-6.2210778,106.8298362,17"
55,Plaza Kalibata,4.4,6849,"-6.2572996,106.8534192,17"
56,Plaza Semanggi,4.3,27885,"-6.2194431,106.8117083,17"
57,Poins Square,4.2,12260,"-6.2899462,106.7755765,17"
58,Pondok Indah Mall,4.6,76676,"-6.2650091,106.7822185,17"
59,Aeon Mall JGC,4.7,65730,"-6.1721883,106.949646,17"
60,Arion Mall,4.4,11243,"-6.1941555,106.8880185,17"
61,Buaran Plaza,4.3,11061,"-6.2176794,106.9215426,17"
62,Cibubur Junction,4.4,32780,"-6.3692589,106.8915174,17"
63,Ciplaz Klender,4.4,5933,"-6.2140395,106.9006426,17"
64,City Plaza Jatinegara,4.4,15677,"-6.213879,106.8618281,17"
65,Grand Cakung,4.3,7293,"-6.1867509,106.9563119,17"
66,Lippo Plaza Kramat Jati,4.4,20526,"-6.2707582,106.865509,17"
67,Mall Bassura,4.6,3786,"-6.2243387,106.8754862,17"
68,Mall Cipinang Indah,4.4,22797,"-6.2391779,106.8914201,17"
69,Mall Graha Cijantung,4.6,6176,"-6.312635,106.8593199,17"
70,Pondok Kelapa Town Square,4.3,3298,"-6.2399018,106.9322158,17"
