provinsi,kota,kecamatan,kelurahan,nama_jalan,coordinate
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG JATI INDAH,"[-6.2599631, 106.773803]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG MASRIKI,"[-6.2626431, 106.7741125]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H SAIMAN,"[-6.2614855, 106.7741336]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JATI INDAH,"[-6.2599631, 106.773803]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL BANK EXIM,"[-6.263339, 106.7745935]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL CIPUTAT RAYA,"[-6.2867907, 106.7711849]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL JATI INDAH,"[-6.2599631, 106.773803]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL SAIMAN,"[-6.2614855, 106.7741336]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,KP RW 03,"[-6.270737049999999, 106.78484451091174]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,SAIMAN,"[-6.2614855, 106.7741336]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,CIPUTAT RAYA,"[-6.2867907, 106.7711849]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG PONDOK PINANG TIMUR,"[-6.2629584, 106.7779198]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG II,"[-6.2659098, 106.7778075]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG III,"[-6.2655575, 106.7776097]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG KUNINGAN,"[-6.26395, 106.7775036]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG 2,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG 3,"[-6.2664634, 106.7723204]"
